speech_id,keywords,speech_giver,year,topic_label
term17-year1-session082-1,"Rize, Meclis, Temsilci, Demokrasi, Vatandaş, Katılım, Gelecek, Umut, Sorun, Çözüm",A. Mesut Yılmaz,1,
term17-year4-session072-1,"Elazığ, Milletvekili, YAVUZTÜRK, Eğitim, Gelecek, Gençlik, Yatırım, Kalkınma, Sosyal, Refah, Vatandaş",Yavuztürk,4,
term17-year4-session074-1,"ISMAIL ŞENGÜN, Denizli, Meclis, AK Parti, Demokrasi, Reform, Eğitim, Ekonomi, Sosyal Adalet, Vatandaş",İsmail Şeng,4,
term17-year4-session074-2,"Kina, Ermeni, ABD, Türkiye, Dostluk, Oy, Politika (konuşmanın içeriği göz önüne alındığında doğrudan kullanılmayan ancak konunun altını çizen bir terim), Alkış, Saygı.",Mustafa Murat Sökmenoğlu,4,
term17-year4-session074-3,"Avrupa Parlamentosu, Butos, Ankara, Nefret, Hayret, Müsamaha, Suçlama, Tavır, Temas, Türkiye",Hüseyin Aydemir,4,
term17-year4-session054-1,"Bolu, Meclis, Oksay, Parlamento, Vatandaş, Demokrasi, Katılım, Özgürlük, Haklar, Gelecek, Umut",Oksay,4,
term17-year4-session054-2,"Bolu, TBMM, SAY (parti), Meclis, Konuşma, Politika (doğrudan bahsedilmemiş ancak bağlamdan anlaşılıyor), Vatandaş, Temsil, Demokrasi, Katılım",Sabit Batumlu,4,
term17-year4-session054-3,"devlet bakanı, Kâzım Oksay, Bolu, TBMM, konuşma, alkışlar, ANAP, politika, meclis, temsilci",M. Şükrü Yüzbaşıoğlu,4,
term17-year4-session095-1,"Bayezit, Kahramanmaraş, SHP, alkışlar, Meclis, konuşma, politika (konuşmanın içeriğine dayanarak çıkarılan), Türkiye (konuşmanın bağlamına dayanarak çıkarılan), temsilci (Bayezit'",M. Turan Bayezit,4,
term17-year4-session095-2,"Bayezit, Kahramanmaraş, SHP, alkışlar, Meclis, politika (konuşma bağlamından çıkarıldı), tarihi (Bayezit'in önemi), halk (alkışlar ve konuşmanın tonu), demokrasi (",Ayhan Fırat,4,
term17-year4-session095-3,"köylü, ekonomik yok oluş, karabasan, ANAP, Özal İktidarı, Başdevrişli, 6 Kasım, tatlı rüya, eleştiri, izlenim",Günseli Özkaya,4,
term17-year4-session026-1,"İzmir, TBMM, Milletvekili, Durcan Emirbayer, Sosyal Medya, Algı Yönetimi, Dijital Dönüşüm, Kamuoyu, İletişim, Strateji",Dursan Emirbayer,4,
term17-year4-session026-2,"Hilmi Nalbandoğlu, Erzurum, Bayındırlık ve İşkan Bakanı İsmail Safa Giray, İstanbul, uyarı, politika, hükümet, meclis, temsilci, vatandaş, gelişim, altyapı",Hilmi Nalbantoğlu,4,
term17-year4-session026-3,"Emirbayer, İzmir, Meclis, Kadın, Siyaset, Demokrasi, Konuşma, Vatandaş, Temsil, Gelecek",Aydın Güven Gürkan,4,
term17-year4-session092-1,"İzmir, TBMM, Milletvekili, Durcan Emirbayer, Sosyal Medya, Algı Yönetimi, Dijital Dönüşüm, Kamuoyu, İletişim, Strateji",Durcan Emirbayer,4,
term17-year4-session092-2,"Muhafazakar, Edirne, Milletvekili, Muhittin Yıldırım, Sosyal Güvenlik, Emeklilik, Haklar, Vatandaş, Devlet, Refah",Muhittin Yıldırım,4,
term17-year4-session092-3,"turizm, sorun, il, gündem dışı konuşma, SHP, alkış, çözüm, talep, ivedi, arz",İdris Gürpınar,4,
term17-year4-session021-1,"Nuri Korkmaz, Adana, Meclis, Anayasa, Demokrasi, Hukukun Üstünlüğü, Özgürlük, Adalet, Vatandaş, Gelecek",Nuri Korkmaz,4,
term17-year4-session028-1,"Vural Arikan, İzmir, Meclis, hükümet, muhalefet, ekonomi, sosyal adalet, eğitim, sağlık, gelecek, umut. 


**Açıklama:**

Konuşma, İzmir milletvekili Vural Arik",Vural Arıkan,4,
term17-year4-session017-1,"TÜRKAN TURGUT ARIKAN, Edirne, Meclis, Kadın, Eğitim, Gelecek, Gençlik, Fırsat, Destek, Sorunlar.",Türkân Turgut Arıkan,4,
term17-year4-session017-2,"İzmir, TBMM, Emri, Bayrer, Konuşma, Siyaset, Demokrasi, Vatandaş, Temsil, Gelecek",Durcan Emirbayer,4,
term17-year4-session017-3,"Ülkü Söylemezoğlu, HDP, Kahramanmaraş, gündem dışı, söz, alkışlar, politika (konu), Meclis (yer), TBMM (yer), Parlamento (benzer yapı)",Ülkü Söylemezoğlu,4,
term17-year4-session029-1,"Aydın Güven Gürkan, Antalya, Meclis, Konuşma, Reform, Demokrasi, Vatandaş, Katılım, Gelecek, Değişim",Aydın Güven Gürkan,4,
term17-year4-session029-2,"Mustafa Kemal, Anamuhalefet Partisi, Bakan, Yalan, İftira, Propaganda, Bölücülük, Milliyetçilik, Laiklik, Holding",Halil İbrahim Şah,4,
