speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
A. Mithat Altıok,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
A. Orhan Öztrak,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
A. Saim Karaömerlioğlu,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abbas Bozyel,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Abbas Gigin,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abbas İnceayan,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,
Abbasali Çetin,,,,,,,,,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Abdi Ağabeyoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdi Nazım Bezmen,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdi Çilingir,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdul Ahat Andican,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,Anavatan Partisi
Abdulahat Arvas,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Abdulaziz Uras,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulaziz Yazar,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Abdulbaki Erdoğmuş,,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,
Abdulbaki Gökçel,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Abdulbaki Tuğ,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Abdulbaki Türkoğlu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdulbaki Ökdem,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulbari Dedeoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulgani Aşık,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Abdulgani Ensari,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulgani Ertan,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulhadi Hüsman,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdulhak Hâmit Tarhan,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Abdulhakim Arvas,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulhalik Fazlı Ertekin,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulhalim Aras,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,
Abdulhalim Galip Kahraman,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulhalim Şatana,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulhaluk Mutlu,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdulhalûk Mehmet Çay,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Abdulhamit Gül,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Abdulilah Fırat,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,,
Abdulkadir Akgöl,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Abdulkadir Akgül,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdulkadir Ateş,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,Sosyaldemokrat Halkçı Parti,,,,,
Abdulkadir Atik,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulkadir Baş,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Abdulkadir Cavit Ekin,,Cumhuriyet Halk Partisi,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulkadir Cenkçiler,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Abdulkadir Emin Önen,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
