original_name,canonical_name,reason,original_party,original_terms,merged_party,merged_terms
Arsan Savaş Arpacıoğlu,Arsan Savaş Arpaciğlu,fuzzy_match,,[],,[]
Arsan Savaş Arpacioglu,Arsan Savaş Arpaciğlu,fuzzy_match,,[],,[]
Hüseyin Avni Sağesen,Hüseyin Avni Sağşen,fuzzy_match,Halkçı PartiSosyaldemokrat Halkçı Parti,[17],Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Hilmi Nalbantöglü,Hilmi Nalbantöğü,fuzzy_match,,[],,[]
Mustafa Şahin,Mustafa Şah,fuzzy_match,,[],,[]
Hilmi Nalbantöğü,Hilmi Nalbanıöğü,fuzzy_match,,[],,[]
Mehmet Kemal Gökoçora,Mehmet Kemal Gökçora,fuzzy_match,,[],,[]
Vecihi Ataklı,Vecihi Atakı,fuzzy_match,,[],,[]
Enis Tütüncü’n,Enis Tütüncü,fuzzy_match,Sosyal Demokrasi PartisiSosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[18, 22, 23]",Sosyal Demokrasi PartisiSosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[18, 22, 23]"
Alâettin Kurt,Alaettin Kurt,fuzzy_match,,"[18, 19]",,"[18, 19]"
Beşer Baydar,Beser Baydar,fuzzy_match,,[],,[]
Turhan Hirfanoğlu,Turhan Hırfanoğlu,fuzzy_match,,[],,[]
K. Kemal Anadol,K.Kemal Anadol,fuzzy_match,Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]",Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]"
"K. Kemal Anadol, kırk üç fıkralık metnin bir madde hâlinde görüşülmesinin sağlıklı olamayacağına ilişkin açıklaması 699:700 3.- İzmir Milletvekili K. Kemal Anadol",K.Kemal Anadol,fuzzy_match,,[],Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]"
Kamer Genc,Kamer Genç,fuzzy_match,Sosyaldemokrat Halkçı Parti(1987-1995)Doğru Yol Partisi(1995-2002)Bağımsız(2002-2010)Cumhuriyet Halk Partisi(2010-2016),"[18, 19, 20, 21, 23, 24]",Sosyaldemokrat Halkçı Parti(1987-1995)Doğru Yol Partisi(1995-2002)Bağımsız(2002-2010)Cumhuriyet Halk Partisi(2010-2016),"[18, 19, 20, 21, 23, 24]"
M. İstemihan Talay,M. Istemihan Talay,fuzzy_match,,[],,[]
Ahmet Ersin,Ahmet Ers,fuzzy_match,,[],,[]
I. Melih Gökçek,İ. Melih Gökçek,fuzzy_match,Adalet ve Kalkınma Partisi(2003-günümüz),[19],Adalet ve Kalkınma Partisi(2003-günümüz),[19]
Kemalettin Göktaş,Kemalettin Göktas,fuzzy_match,,[],,[]
Bülent Akarcali,Bülent Akarcalı,fuzzy_match,Anavatan Partisi(1983-2002)Adalet ve Kalkınma Partisi(2009),"[17, 18, 19, 20, 21]",Anavatan Partisi(1983-2002)Adalet ve Kalkınma Partisi(2009),"[17, 18, 19, 20, 21]"
Ahmet Feyzi İnceöz,Ahmet Fevzi İnceöz,fuzzy_match,,[],,[]
Eylüp Aşık,Eyüp Aşık,fuzzy_match,,[],,[]
Oğuzhan Asiltürk,Oğuzhan Asıltürk,fuzzy_match,,[],,[]
Abdullah Güler,Abdullah Gül,fuzzy_match,Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2007),"[19, 20, 21, 22, 23]",Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2007),"[19, 20, 21, 22, 23]"
"Meral Danış Beştaş, Tokat Milletvekili Özlem Zengin’in yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 924:925 45.- Kocaeli Milletvekili Lütfü Türkkan",Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın On Birinci Kalkınma Planı’yla ilgili olarak verilmiş olan 1 numaralı önergeyle ilgili yaptığı konuşmasına ilişkin açıklaması 855:856 35.- Siirt Milletvekili Meral Danış Beştaş,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 854 31.- Siirt Milletvekili Meral Danış Beştaş,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 533 26.- Dışişleri Bakanı Mevlüt Çavuşoğlu’n,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 752:753 30.- Manisa Milletvekili Özgür Özel,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın sataşma nedeniyle yaptığı konuşması ile Ankara Milletvekili Levent Gök’ün yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 610:611 23.- Diyarbakır Milletvekili İdris Baluken,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 356 37.- İstanbul Milletvekili Engin Altay,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 501 43.- Amasya Milletvekili Mehmet Naci Bostancı,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 982:983 23.- Kocaeli Milletvekili Haydar Akar,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 433 38.- Adana Milletvekili Meral Danış Beştaş,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Meral Danış Beştaş’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 434 40.- Adana Milletvekili Meral Danış Beştaş,Meral Danış Beştaş,fuzzy_match,,[],Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Özlem Zengin,Özlem Zeng,fuzzy_match,Adalet ve Kalkınma Partisi(2003-günümüz),"[25, 27, 28]",Adalet ve Kalkınma Partisi(2003-günümüz),"[25, 27, 28]"
Dursun Müsavat Dervişoğlu’n,Dursun Müsavat Dervişoğlu,fuzzy_match,İYİ Parti(2017-günümüz),"[27, 28]",İYİ Parti(2017-günümüz),"[27, 28]"
Dursun Müsavat Dervişoğlu’nun vefat eden MHP Gaziantep Milletvekili Ali Muhittin Taşdoğan’ın babasına Allah’tan rahmet dilediklerine ilişkin açıklaması 190 37.- Manisa Milletvekili Erkan Akçay,Dursun Müsavat Dervişoğlu,fuzzy_match,,[],İYİ Parti(2017-günümüz),"[27, 28]"
Dursun Müsavat Dervişoğlu ve Manisa Milletvekili Özgür Özel’in yaptıkları açıklamalarındaki bazı ifadeleri ile Afyonkarahisar Milletvekili Burcu Köksal’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 718 27.- Çanakkale Milletvekili Bülent Turan,Dursun Müsavat Dervişoğlu,fuzzy_match,,[],İYİ Parti(2017-günümüz),"[27, 28]"
"Dursun Müsavat Dervişoğlu, İstanbul Milletvekili Rümeysa Kadak’ın İYİ PARTİ grup önerisi üzerinde AK PARTİ Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 598 33.- Trabzon Milletvekili Ahmet Kaya",Dursun Müsavat Dervişoğlu,fuzzy_match,,[],İYİ Parti(2017-günümüz),"[27, 28]"
Hakkı Saruhan Oluç ile Sakarya Milletvekili Engin Özkoç’un yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 180:182 12.- İstanbul Milletvekili Hakkı Saruhan Oluç,Hakkı Saruhan Oluç,fuzzy_match,,[],Özgürlük ve Dayanışma Partisi(1996-2010)Eşitlik ve Demokrasi Partisi(2010-2011)Halkların Demokratik Partisi(2012-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 27, 28]"
