speech_giver,political_party,terms
A. Mesut Yılmaz,ANAP(1983-2007)DP(2009-2011),"[17, 18, 19, 20, 21, 23]"
Abdulaziz Yazar,,"[22, 23]"
Abdulhamit Gül,Refah Partisi(1996-1998)Fazilet Partisi(1998-2001)Saadet Partisi(2001-2010)Halkın Sesi Partisi(2010-2012)Adalet ve Kalkınma Partisi(2012-günümüz),"[25, 26, 27, 28]"
Abdulkadir Akgül,Adalet ve Kalkınma Partisi,"[23, 25, 26, 28]"
Abdulkadir Karaduman,Saadet Partisi,[27]
Abdulkadir Karaduman’ın 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 444 11.- Sivas Milletvekili Semiha Ekinci’nin 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 444:445 12.- Malatya Milletvekili Mehmet Celal Fendoğlu’n,,[]
Abdulkerim Gök,Adalet ve Kalkınma Partisi,[24]
Abdullah Aykon Doğan,,"[18, 19, 20]"
Abdullah Baştürk,Cumhuriyet Halk PartisiSosyaldemokrat Halkçı PartiHalkın Emek Partisi,"[14, 15, 18]"
Abdullah Gül,Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2007),"[19, 20, 21, 22, 23]"
Abdullah Koç,Halkların Demokratik Partisi,[27]
Abdullah Levent Tüzel,Emek Partisi(1996-2011)Bağımsız(2011-2013)Halkların Demokratik Partisi(2013-),"[24, 25]"
Abdullah Nejat Koçer,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Abdullah Sedat Doğan,Cumhuriyet Halk Partisi,[18]
Abdullah Ulutürk,,"[18, 19]"
Abdullah Zeydan,Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26]"
Abdullah Çakırefe,,[]
Abdullah Özer,Cumhuriyet Halk Partisi,[23]
Abdulliah Fırat,,[]
Abdurrahman Başkan,Milliyetçi Hareket Partisi,"[25, 27, 28]"
Abdurrahman Demirtaş,,[17]
Abdurrahman Tutdere,Cumhuriyet Halk Partisi(1998-günümüz),"[27, 28]"
Abdurrahman Öz,Adalet ve Kalkınma Partisi,"[25, 26]"
Abdülkadir Cenkçiler,,"[18, 20]"
Abdüllatif Şener,Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2007)Bağımsız(2007-2009)Türkiye Partisi(2009-2012)Bağımsız(2012-2018)Cumhuriyet Halk Partisi(2018-2023)Bağımsız(2023-günümüz),"[19, 20, 21, 22, 27]"
Abdülvahap Dizdaroglu,,[]
Adem Yıldırım,Adalet ve Kalkınma Partisi,[28]
Adem Çalkın,Adalet ve Kalkınma Partisi(2012-günümüz),[28]
Adil Kurt,,[]
Adnan Boynukara,Adalet ve Kalkınma Partisi,"[25, 26]"
Adnan Kahveci,Anavatan Partisi(1983-1993),"[18, 19]"
Adnan Kesk,Cumhuriyet Halk PartisiSosyaldemokrat Halkçı Parti,"[16, 18, 19, 20, 24]"
