year,context,cluster
1,abdurrahman tutdere adıyaman teşekkür ediyorum sayın başkan aile çalışma ve sosyal hizmetler bakanlığına bağlı kurum ve kuruluşlarda ek,41
1,karşılığı çalıştırdığınız nitelikli meslek mensuplarını kadroya almayı düşünüyor musunuz unvanında aile çalışma ve sosyal hizmetler terimlerini bulunduran bir bakanlık olarak yaptığınız,25
1,kendi aslında seçmenlerimize rağmen yapıyoruz öyle söyleyelim yani pek çok aile onlar içerisinden ak parti ye oy verenler var mesele oy,0
1,çoluk çocuğuna hasret yaşayan sözleşmeli öğretmenlere de tayin hakkı verilerek aile bütünlüğü sağlanmalıdır buradan millî eğitim bakanına sesleniyoruz millî eğitim bakanlığı,48
1,şunu çok net biçimde biliyoruz şahsın büfeciyle bir husumeti var aile yani öldürülen şahıslar aslında sadece araya girmeye çalışıyorlar o da,22
1,kazim arslan denizli çalışma sosyal hizmetler ve aile bakanına soruyorum i şsizlik oranı haziran temmuz ağustos aylarında önceki,41
1,göstermemiz gereken bir yerdir cumhurbaşkanının konuşmalarında 300 milyonluk dev bir aile diye tarif ettiği bu mesuliyet alanımızın kardeşlik mecburiyetimizin bugünlerde en,18
1,2 nci zeytinyağı üretiminde 4 üncü sıradadır ülkemizde 500 bin aile zeytin ve zeytinyağı üretiminde çalışmaktadır türkiye de yaklaşık 170 milyon,36
1,kanun hükmünde kararnamelerde değişiklik yapılmasına dair kanun teklifi ile sağlık aile çalışma ve sosyal i şler komisyonu raporu nun görüşmelerine başlayacağız,1
1,ve imza yetkisi gibi özlük haklardan mahrum olarak çalışmaktadırlar çoğunun aile bütünlüğü dahi sağlanamamaktadır onlar sadece eşit işe eşit hak talep,23
1,özellikle evlilik yapan işçiler eşleriyle farklı illerde yaşamak zorunda bırakılarak aile bütünlükleri bozulmuştur tüm bunların çözümü hatalı nace kodları bildirimlerinin düzenlenmesidir,41
1,kanun hükmünde kararnamelerde değişiklik yapılmasına dair kanun teklifi ile sağlık aile çalışma ve sosyal i şler komisyonu raporu nun görüşmelerine kaldığınız,1
