year,context,cluster
1,teşekkürler sayın başkan biz bir önerge verdik ve kadınlar yoksuldur kadın yoksulluğunu araştıralım önlemek için gereken tedbirleri soruşturalım dedik bu kadar,61
1,şahidi de ben değilim zaten çünkü aynı zamanda bu komisyonun kadın erkek fırsat eşitliği komisyonunun ne kadar toplanmadığına da şahidim ve,63
1,kadar toplanmadığına da şahidim ve onun dışında söz edilen liderin kadın ile erkeğin fıtratında eşitlik yoktur sözlerine de şahidim ama mesele,23
1,z keresteci oğlu demi r ankara ve ben buradaki tüm kadın ve erkekleri kadın yoksulluğunun araştırılması önergesine destek vermeye davet ediyorum,0
1,demi r ankara ve ben buradaki tüm kadın ve erkekleri kadın yoksulluğunun araştırılması önergesine destek vermeye davet ediyorum teşekkürler başkan teşekkürler,0
1,sağlık bakanlığına buradan sesleniyorum kırşehir hastanesine plastik cerrah çocuk uzmanı kadın doğum uzmanı ve göğüs uzmanı atanması için gerekenin yapılmasını istiyorum,1
1,sonra bıçaklayarak öldürmüştür önceki gün yine adana da genç bir kadın bıçaklanmıştır yine adana da bir başka şahıs eşini üzerine kaynar,18
1,mahkemenin salonundan bahsediyorum hâkimin odasından bahsediyorum benim odama başörtülü bir kadın giremez diyen bir ülkeden bahsediyoruz ya hangi yerlerden gelmişiz chp,58
1,rakamlar yayınlarlar hepimiz görmüşüzdür işte bu insani kalkınmışlık endeksi yoksulluk kadın istihdamı çocuk bebek ölüm oranları falan bunların hepsinde en kötü,61
1,sayısı bu ay sonu itibarıyla 1 e düşecektir hastanemizde 11 kadın hastalıkları ve doğum uzmanının görev yapması gerekirken bu sayı geçtiğimiz,1
1,son olarak da sayın başkan hemen yanımda oturan ağrı milletvekilimiz kadın grubu sözcümüz dilan dirayet taşdemir in yargılanma sürecine dikkat çekmek,36
1,tarihlerinde i ngiltere nin başkenti londra da düzenlenecek olan dünya kadın parlamenterler konferansı na katılım sağlanmasına ilişkin tezkeresi 3 57 türkiye,34
1,tarihlerinde i ngiltere nin başkenti londra da düzenlenecek olan dünya kadın parlamenterler konferansı na katılım sağlanması hususu 28 3 1990 tarihli,48
1,686 tbmm b 17 14 11 2018 o 1 cerrahi kadın hastalıkları ve doğum kbb göz ve ortopedi branşlarında doktor eksiklerinden,10
1,boyutları gözler önüne serilmiştir resmî rakamlarla 2017 yılında 133 809 kadın 2017 yılının ilk yedi ayında 96 417 kadın şiddete maruz,50
1,133 809 kadın 2017 yılının ilk yedi ayında 96 417 kadın şiddete maruz kalmış ve bu süre içinde ne yazık ki,50
1,maruz kalmış ve bu süre içinde ne yazık ki 393 kadın şiddet nedeniyle hayatını kaybetmiştir bu kabul edilebilecek bir durum değildir,44
1,ilk kez yenilme ve gerileme durumunu burada yaşadı büyük bir kadın düşmanı da olan işi d e karşı kadınların direnişi kadının,43
1,geçen diğer bir konu da kadına yönelik şiddet genel başkanının kadın olduğu bir partinin grup başkan vekili olarak bu konuya da,3
1,da birçok açıdan mağduriyet yaşamalarına sebep olmuştur türkiye nüfusunun yarısının kadın olduğu gerçeği karşısında kadının cinsiyetine dayalı olarak karşılaştığı bu sorunların,58
1,ve güven varlığının eksikliği göze batmaktadır şiddet gören bir kadını kadın sığınmaevine gönderecek kadar çok sığ bir uygulama yapıyoruz ya kadın,2
1,kadın sığınmaevine gönderecek kadar çok sığ bir uygulama yapıyoruz ya kadın şiddet görüyor onun sığınmaevinde ne işi var ona şiddet gösteren,2
1,kadının sığınmaevine gönderilmesi yerine şiddet uygulayan erkeğin ceza alması gerekirken kadın sığınmaevine gönderilerek tecrit ediliyor âdeta bu yanlış uygulamaya bir an,2
1,13 1 11 2018 o 1 değerli arkadaşlar 2017 yılında kadın konferansı yapıldı hatırladığım kadarıyla i nsan hakları komisyonunda akp li,50
1,sözlerle hem toplumda nasıl yaygınlaştırıldığını da çok net görüyoruz buradaki kadın milletvekilleri iktidarından muhalefetine hepsi de aslında kendi yaşamlarından da bu,23
1,kadına yönelik şiddet bu kadar artmışken günde en az 1 kadın şiddete maruz kalıp bir ay içerisinde neredeyse 50 kadın katledilirken,35
1,1 kadın şiddete maruz kalıp bir ay içerisinde neredeyse 50 kadın katledilirken kadınların çoğu o düzeltmek istediğiniz yine düzenlemeyle haklarını geri,35
1,sistematik bir şiddete maruz kalırken yine gözaltında cezaevlerinde sistematik olarak kadın kimliklerinden kadın olmalarından dolayı saldırıya maruz kalırken sadece 6 örnek,58
1,şiddete maruz kalırken yine gözaltında cezaevlerinde sistematik olarak kadın kimliklerinden kadın olmalarından dolayı saldırıya maruz kalırken sadece 6 örnek karar gördüm,2
1,toplumun sorunlarını çözmesi gerekiyor cezaevi sorunları kadına yönelik şiddet ve kadın hakları sorunları çocuk hakları sorunları bakın istismarın bu kadar arttığı,23
1,bir vicdan muhasebesi yapmak için önemsiyoruz genel başkanımızla birlikte bir kadın cezaevinde ziyaretteyiz 8 martta belli bir yaşta oranın emekçisi olduğu,3
1,etrafındaki tüm personel tarafından saygıyla karşılanan eski adı gardiyan bir kadın infaz koruma memuru kadının hikâyesi şu bir tanecik oğlu var,29
1,bu çocuk fetö cü olabilir mi annesi hâlen daha sincan kadın cezaevinde fetö cü olsa atardınız anasını çoktan bu çocuk örneğin,58
1,cumhurbaşkanımızın yaptığı konuşmaları karıştırıyorsunuz ortada mağduriyeti olan şikâyetçi olan bir kadın var kadının ifadeleri başka bir şey buradan yola çıkarak devam,58
1,biliyorsunuz hem temel hak ve özgürlüklerimiz hem insan haklarımız hem kadın hakları hem seçilme hakları hem çocuk hakları ve birçok temel,43
1,baskıyı yapmaya devam ettiğini görüyoruz tabii insan haklarına saygı gösterilmezse kadın haklarına riayet edilmezse çocukların gerçekten istismar edildiği bir noktada siyasi,61
1,ederek üniversiteye almak isteyen birtakım kişiler de yok ortada e kadın hakları diyoruz kadınlar giyim kuşamına bakılmaksızın her türlü kamusal görevi,69
1,da şikâyetlerini iletebilmektedirler i nsan hakları temel hak ve özgürlükler kadın hakları çocuk hakları kamuyu ilgilendiren genel konulara yönelik olması hâlinde,24
1,ve işlemleri engelli hakları gıda tarım ve hayvancılık insan hakları kadın hakları ailenin korunması çocuk hakları kamu personel rejimi mahallî idarelerce,67
