year,context,cluster
1,15 7 11 2018 o 1 i flasın eşiğine gelen kamu müteahhitleri ulaştırma bakanı cahit turhan ı verdiği fiyat farkı ve,9
1,ilaç bulunmuyor iktidarın kötü yönetiminden grip aşısı dahi piyasada yok kamu kurum iskontoları ise vatandaşa pahalı devlete daha ucuz veriliyor i,0
1,erdoğan ı ayarlar bu işin üzerini kapatır gideriz tabir bu kamu düzeninin kurumların yargının istihbaratın tek bir kişinin iki dudağında bulunduğu,8
1,ve i stihbarat komisyonunu göreve çağırıyoruz ülkemizin güvenliğini hukuk ve kamu düzenini yok sayan bu saygısızlığa karşı tüm siyasi partileri birlik,151
1,süren seferleri de o tarihten bu yana yapılmamıştır yani çanakkale kamu yararı göz ardı edilerek gestaş ın kârlılığına mahkûm edilmektedir çanakkale,202
1,da bilmesi gerekir hükmü kesinleşmeyen suçu sabitlenmeyen herkesin anayasa önünde kamu vicdanı önünde masum olduğunu bilmesi gerekir yoksa kürsüye çıkıp esmek,153
1,arkadaşlar v başkanliğin genel kurula sunuşlari a duyurular 1 başkanlıkça kamu i ktisadi teşebbüsleri komisyonunda siyasi parti grubu mensubu olmayan milletvekillerine,45
1,ilişkin duyuru başkan başkanlığın genel kurula sunuşları vardır sayın milletvekilleri kamu i ktisadi teşebbüsleri komisyonunda siyasi parti grubu mensubu olmayan milletvekillerine,45
1,dari teşkilatı kanunu nun 37 nci maddesi ile 5018 sayılı kamu mali yönetimi ve kontrol kanunu nun 69 uncu maddesi kapsamında,1
1,dari teşkilatı kanunu nun 37 nci maddesi ile 5018 sayılı kamu mali yönetimi ve kontrol kanunu nun 69 uncu maddesi kapsamında,1
1,harcama belgelerinin kanunlara ve diğer hukuki düzenlemelere uygun olup olmadığı kamu kaynaklarının ekonomik etkili ve verimli olarak kullanılıp kullanılmadığı yapılan harcamaları,64
1,harcama yapılmadığı sayıştay başkanının üst yönetici olarak bütçe ile verilen kamu kaynaklarının etkili ekonomik ve verimli bir şekilde kullanılmasını temin edecek,337
1,ettikleri i darenin mali faaliyet karar ve işlemlerinin 5018 sayılı kamu mali yönetimi ve kontrol kanunu ve ilgili diğer mevzuat çerçevesinde,366
1,alınan fiyat çıktıları ile hesaplandığı alım yapılacak bazı hizmet kalemleri kamu kurumlarına ait birim fiyat cetvellerinde bulunmadığından ve mevzuatın imkan vermiş,151
1,sayıda gencin türkiye de okuduğunu ve afganistan da üst düzey kamu hizmeti siyaset ve ticaretin içinde olduklarını söylemişti bu ilişkilerle bağlantı,6
1,büyük bir meydanda toplantı yapmıyorsunuz kentin ana arterlerini trafiğe kapatmıyorsunuz kamu kurum ve kuruluşlarının işleyişini engellemiyorsunuz sadece basın toplantısı yapıyorsunuz bizim,366
1,valimizin kaymakamımızın haksız yere suçlanması doğru değil ilgili milletvekillerinin ilgili kamu görevlisinden özür dilemelerini bekliyoruz teşekkür ederim başkan sayın bülbül,7
1,ucube sistemde kazanan millet değildir kazanan faiz lobileridir havuz müteahhitleridir kamu bankalarından borç alıp batıran yandaşlardır ve saraydır i şte sebebi,150
1,yüzlü konuksever hakkâri halkını ve hakkâri de görev yapan tüm kamu görevlilerimizi sevgi ve saygılarımla selamlıyorum değerli milletvekilleri hakkârililer bizden sadece,434
1,etkisi vardır bu bölgelerde üreticilerimizin başta ziraat bankası olmak üzere kamu bankaları ve tarım kredi kooperatiflerine borçları faizsiz olarak ertelenmelidir ziraat,150
1,geçiş noktası olarak kullanıldığı ortaya çıktı sayıştay kanun önünde eşitlik kamu hizmetine girmede eşitlik ile liyakat ilkelerine aykırılık oluşturmamak adına özel,42
