year,context,cluster
1,hasta ve hastane hizmetleri acil servis dışında yapılamaz hâle gelmiştir kış şartlarının giderek ağırlaştığı ilimizde köy ve ilçelerden hastaneye gelen vatandaşlarımızın,3
1,özgür ceylan çanakkale çanakkale gestaş ın bozcaada ve gökçeada ya kış seferlerinin yetersizliği ve pahalılığıyla ilgili ulaştırma ve altyapı bakanlığına yönelttiğim,1
1,aralık 1914 tarihinde enver paşa komutasındaki birliklerin allahuekber dağlarında çetin kış şartlarında başlattığı ve 90 bin civarında askerimizin şehit olduğu sarıkamış,0
1,aralık 1914 tarihinde enver paşa komutasındaki birliklerin allahuekber dağlarında çetin kış şartlarında başlattığı ve 90 bin civarında askerimizin şehit olduğu sarıkamış,0
1,olarak hareket eden çok hareketli bir türdür kışın metabolizmalarını dondurup kış uykusuna yatan uğur böcekleri yaz aylarında yeniden uyanarak bölgeye canlı,1
1,illerini etkileyen akarsuların kaynağı konumunda olan bir dağımızdır bu dağ kış turizmi tarım içme suyu kaynağı olarak kullanılmaktadır endemik bitki örtüsü,2
1,1 2 kilometreyi yürüyerek gitmek zorundadırlar önümüz ankara da çetin kış koşullarıdır kardır buzdur kimi hamile olan kimi belli bir yaşta,7
1,değerli arkadaşlar bunun dışında yine ekonomiyle ilgili iflasın ertelenmesi talebi kış lastiği epilasyon gibi kararlar kanun hükmünde kararnamelerle alındı yani olağan,2
1,değil çünkü ohal bittiği zaman khk leri kaldırmadınız konusu itibarıyla kış lastiği ve benzeri bir sürü anlamsız şeyi işin içine kattınız,9
1,ve tim komutanı olarak görev yaptığım esnada görev sebebiyle özellikle kış şartlarında pek çok defa gittiğim sarıyayla köyü sarıbudak mezrası kırsalında,6
1,operasyonlar haftalarca sürebilir sırt çantanızda onca yükle günlerce arazide dolaşırsınız kış şartlarında ıslanırsınız daha kurulanmadan tekrar ıslanırsınız ve daha sonra da,3
1,döviz getiren sektörlerimizden birisi hâline gelmiştir önümüzdeki dönemde sağlık turizmi kış turizmi konferans ve fuar turizmi gibi alternatif turizm alanlarına daha,7
1,her siyasetçiyi sorumlu davranmaya davet ediyorum dengelenme süreci disiplinle uygulanmış kış dönemi etkisiyle piyasalarda görülen daralma aşılmaya başlanmıştır esnafımıza ve çiftçimize,7
1,ama bugün elhamdülillah adıyaman da 60 ın üzerinde ambulansımız ve kış şartları zor geçen gerger sincik ve çelikhan ilçelerimizde de paletli,4
1,belediyelere devredilmesiyle birlikte köylere hizmet götürmede sıkıntılar başlamıştır şu anda kış dönemine girdik kışı yaşıyoruz kışın kar yağışının bol olduğu birçok,7
1,yaşadığı bazı sorunları da dile getirmek istiyorum özellikle yaz ve kış turizmine bağlı olarak çalışan işletmelerde sezon sonunda işçiler işten çıkarılmaya,2
1,olarak deniz ve kıyı turizminin yanı sıra sağlık termal kongre kış golf kültür ve doğa turizminin geliştirilmesi amacıyla çalışmalar yürütülmektedir tanıtım,5
1,oturdukları evlerde herhangi bir bakım onarım işlemi yapamamaktadırlar şu anda kış koşullarında akan çatılarını bile tamir edemiyorlar örenli mahallesi yle ilgili,2
1,politikalarla turizm alanında mutlaka değerlendirilmelidir ayrıca inanç sağlık gastronomi kongre kış spor ve yayla turizmi gibi diğer alanlardaki potansiyeli en iyi,8
1,çalışmayan yaşlı ve çocukları olan yüzlerce aile mağdur durumda soruyorum kış ortasında yapılan bu zulüm üyelik bedeli almak için mi yapılmaktadır,6
1,çalışmayan yaşlı ve çocukları olan yüzlerce aile mağdur durumda soruyorum kış ortasında yapılan bu zulüm üyelik bedeli almak için mi yapılmaktadır,6
1,çalışmayan yaşlı ve çocukları olan yüzlerce aile mağdur durumda soruyorum kış ortasında yapılan bu zulüm üyelik bedeli almak için mi yapılmaktadır,6
1,konuşmamızda da belirttik maalesef insanlar aramaya devam ediyor hem bir kış durumu vardır mısırın mahsulün kalkma dönemidir i ki ay önce,7
1,olan bütün konuşmalar hemen hemen benden önce yapıldı ama bir kış saati uygulamanız var ki ısrarla vazgeçmiyorsunuz bu konuyla ilgili raporlar,7
1,alay ediyorsunuz hiç yakışmıyor size çok ayıp mehmet göker devamla kış saati uygulamalarında özellikle ekonomik boyutu bir tarafa çocukların psikolojisi de,7
1,plan ve bütçe komisyonunda da söylemiştim tekrar ifade ediyorum özellikle kış aylarında elektrik kesintileri çok sık oluyor mümkünse ilgili firmanın uyarılarak,7
1,sayın barut ayhan barut adana sayın enerji bakanı yaz ve kış saati uygulamalarının yapıldığı 2012 ile 2015 yılları arasında yıllık tüketim,9
1,arasında yıllık tüketim artışı ortalama 6 ila 9 milyar kilovatsaattir kış saati uygulamasından vazgeçilen 2016 yılında ise tüketim artışı 15 milyar,2
1,rağmen belediye yarın geliriz haftaya geliriz gibi bahanelerle insanları oyalamaktadır kış aylarında özellikle geç saatlerde insanlar kurt ve köpek saldırılarından korkarak,7
1,de talebi körükleyerek yüksek talep tahminlerinin tutmasını sağlamak için yaz kış saati uygulamasını bile değiştirdiniz sadece bu yüzden 2 8 milyar,9
1,burada çalışan binlerce insan binlerce işçi şu anda mağdurlar kar kış kış gününde insanlar evine ekmek götürme telaşına düşmüşken afşin elbistan,8
1,çalışan binlerce insan binlerce işçi şu anda mağdurlar kar kış kış gününde insanlar evine ekmek götürme telaşına düşmüşken afşin elbistan termik,8
1,u babasının çiftliği gibi görmektedir bahçeli başbakan bahar değil kara kış yaşatmıştır faizcileri uzakta değil yakında arasın erdoğan özür dilemelidir bu,9
1,hem de tüm aylara yayarak golf gibi inanç turizmi gibi kış turizmi gibi gurme turizmi gibi ve sportif amaçlı turizm gibi,5
1,gökcan muğla demagoji yapıyorsun ali mahi r başarir devamla bu kış ayında yüz binlerce vatandaşın elektriği suyu doğal gazı kesilmiş bunları,9
1,bakalım kadroya alabiliriz bakın bu işçilere yazıktır bu insanlara yazıktır kış günü bu insanları ekmeğinden etmeyin afşin elbistan termik santrali işçilerine,8
1,toplam aşı ithalatına ayrılan bütçe ne kadardır öte yandan malum kış mevsimi geldi grip aşısı yaptırmak isteyenler de aile hekimliklerinde aşı,7
1,ersin canlı üzümlü haramidere tahtalıköy ve mezralarının yolları şu anki kış koşullarında kullanılmayacak durumdadır acaba mevcut iktidarın bu köylülerimizin yaşadığı bu,7
1,dakika dünya kenti i stanbul a ise bir saat mesafededir kış sporlarının tadını çıkarmak isteyenleri akçakoca nın memleketi kocaeli ne bekliyoruz,2
1,sefer aycan kahramanmaraş sayın başkan yurdumuzda kış aylarının önemli bir sorunu da hava kirliliğidir hava kirliliği yurdumuzda,7
1,çeşitli sosyal medya ortamlarında paylaşmalarındandır sömestr tatilinin de başladığı bu kış mevsimiyle ve karla daha da güzelleşen doğanın içinde bir gün,3
1,göstermektedirler erzincan milletvekili olarak bu cazibeyi oluşturanlara teşekkürlerimi sunuyor ve kış ayları için farklı bir aktivite niteliği taşıyan bu yolculuğun turizm,6
1,ovit tüneli ni bu yıl hizmete açtık ovit tüneli yle kış şartlarında altı ay kapalı olan seyahat çilesini sonlandırıp yıl boyu,2
