year,context,cluster
1,çalışma statülerindeki belirsizlikler yüzünden yıllık izin analık izni evlilik izni süt izni gibi özlük hakları bulunmamaktadır buradan ilgili bakanlığa sormak istiyorum,8
1,bütün köyleri tarımsal kalkınma kooperatifi yani tonyalı hemşehrilerimizin deyimiyle tonya süt fabrikasında üretim durdurulmuş durumda tonya süt fabrikası tonya nın ekonomik,0
1,tonyalı hemşehrilerimizin deyimiyle tonya süt fabrikasında üretim durdurulmuş durumda tonya süt fabrikası tonya nın ekonomik can damarı öğrencilerin kıyafeti okul malzemeleri,0
1,olan ve geçimini hayvancılıktan temin eden tonyalının tek dayanağı tonya süt fabrikası faaliyetlerini durdurmuş durumda üreticiden toplanan sütler çevre ilçelere taşınmakta,8
1,teşekkür ediyorum sayın başkan tarım ve orman bakanı et ve süt kurumunun 10 üründe yüzde 10 indirime gittiğini açıkladı bu ürünler,8
1,2002 yılından günümüze mera alanları yüzde 13 azalmıştır 50 kilo süt yemi aralık 2017 de 50 55 liraya alınabilirken 2018 eylül,7
1,kilo yemin fiyatı 1 liradan 1 lira 75 kuruşa çıktı süt yem paritesi 1 litre sütle en az 1 5 kilogram,1
1,tarım politikalarının sonucu saman ve yem dolara endekslendi bu koşullarda süt ve et üreticilerinin kâr etmesi ve üretime devam etmesi beklenemez,8
1,gibi hayvan hastalıkları nedeniyle üretici yeni sezonda hayvan alımı yapamamaktadır süt alım fiyatları alım yapan firmaların ödemelerini zamanında yapmaması ve konkordato,8
1,29 5 tl dolaylarına gerilemiştir yüksek yem fiyatları düşük çiğ süt alım ücretleri ve kesim karkas kilogram fiyatındaki düşüş yetiştiriciye zor,5
1,durumda unutulmamalıdır ki mera yoksa ot ot yoksa et ve süt yoktur nüfusumuzdaki artışa bağlı artan gıda ihtiyacını ithalatla karşılama eğiliminde,2
1,zor durumda besiciler batıyor hayvanlarını kestirmek isteyen besicilere et ve süt kurumu altı ay sonrasına sıra veriyor o da 33 liraya,8
1,ettikleri eti 24 liraya satabilmek için hâl böyleyken et ve süt kurumunun deposunda şu anda 6 500 ton ithal edilmiş dondurulmuş,3
1,biliyor musunuz ot yoksa yem yok yem yoksa et yok süt yok arkadaşlar mikrofon otomatik cihaz tarafından kapatıldı orhan saribal devamla,2
1,toptancı hallerinin sebze meyvelerin yanı sıra et ve et ürünleri süt ve süt ürünleri su ürünleri arı ürünleri kesme çiçeğin de,4
1,sebze meyvelerin yanı sıra et ve et ürünleri süt ve süt ürünleri su ürünleri arı ürünleri kesme çiçeğin de ticaretinin yapılabildiği,4
1,hicapla gezilmez diye bağırarak kadınlarımızın örtüsünü açmak istedi bu sırada süt satan sütçü i mam bugün namus günüdür diyerek ateş açmış,7
1,yüzde 50 küçükbaş hayvan sayısını yüzde 40 artırdık et ve süt kurumu genel müdürlüğünü et ve sütte fiyatların dalgalanması olumsuz etkilerin,7
1,bitkisel üretim artmış yüzde 180 hayvansal üretim artmış yüzde 146 süt üretimi artmış desteklerle ilgili genel bir ufak eleştiri oldu burada,8
1,beki r pakdemi rli devamla şimdi söylediklerinize geliyorum amerika dan süt mamulleri geliyormuş değil mi 4 kilo ithal edilmiş amerika dan,5
1,değil mi 4 kilo ithal edilmiş amerika dan 4 kilo süt mamulleri ithal etmişiz arkadaşlar lütfen eleştirecekseniz eleştirecek malzeme bulamıyorsanız bana,5
1,hikâye şeylerle gelmeyin ömer fethi gürer niğde 270 bin ton süt tozu geldi mi gelmedi mi bakanın cevabı var tarım bakanı,6
1,mi bakanın cevabı var tarım bakanı söyledi 270 bin ton süt tozu ithal etmişsiniz bunu sizin bakanınız söyledi başkan sayın gürer,6
1,r pakdemi rli devamla bravo hepinize teşekkür ediyorum 4 kilogram süt mamulü amerika dan ithal ettik diye koskoca tarım bakanlığını eleştirebiliyorsunuz,5
1,bravo teşekkür ediyorum ömer fethi gürer niğde 270 bin ton süt tozu bende cevabı gelin vereyim 270 bin ton süt tozunun,6
1,ton süt tozu bende cevabı gelin vereyim 270 bin ton süt tozunun yazılı cevabını bakan bana verdi size de vereyim tarim,6
1,kimsenin kanını döküp döktürmedim yalan söylemedim hak yemedim zina etmedim süt çocuklarının sütünü kesmedim çalmadım ölmüş balığı tutmadım hiçbir arkı yıkmadım,7
1,biri ekonomik darlık diğeri de ithal edilen ettir et ve süt kurumu et ithalatının yüzde 233 arttığını söylüyor bizim yerli anadolu,8
1,ve yiğit bir kahramanın zamanın zalim diktatörü tarafından altı aylık süt emen çocuğuna varıncaya kadar bütün yakınlarıyla birlikte acımasızca şehit edildiği,7
1,21 gösterildiyse de gerçekte durum bambaşka geçen yıl 1 litre süt 2 25 ti bugün 4 75 salça 4 75 ten,1
1,kret şahi n balıkesir teşekkür ederim sayın başkan balıkesir de süt üreticileri ekonomik olarak büyük sıkıntı yaşamaktadırlar ulusal süt konseyi tarafından,8
