year,context,cluster
1,ilaç maliyetlerini karşılamaktadır bununla birlikte diğer iki tipteki yaklaşık bin çocuk için ilaç temini sağlanamamaktadır buna göre tüm sma hastalarının ilaca,37
1,sayın başkan dün bu konuda konuşmuştum kanuni sultan süleyman hastanesinde çocuk gebelerle ilgili iki laf yan yana gelmemesi gereken iki söz,48
1,sevk edilmiştir sağlık bakanlığına buradan sesleniyorum kırşehir hastanesine plastik cerrah çocuk uzmanı kadın doğum uzmanı ve göğüs uzmanı atanması için gerekenin,20
1,kat artması son derece vahim bir rakam 20 bin civarında çocuk toplamda 633 bin civarında da denetimli serbestliğe tabi kişi var,16
1,engi n altay i stanbul tek parti döneminde kimsenin kaç çocuk doğuracağına karışılmıyordu özlem zengi n tokat şimdi de karışılmıyor engi,17
1,daha hatırlatıyorum ahmet berat çonkar i stanbul boş konuşuyorsun boş çocuk mu kandırıyorsunuz ya engi n altay i stanbul öyle tazminatla,29
1,aralık 2011 roboski de uludere de 34 kişinin 17 si çocuk olmak üzere hiçbir güvenlik tehdidi oluşturacak durumları olmadığı hâlde doğrudan,16
1,başkan buyurun ayhan bi lgen kars eğer bir ülkede çoğu çocuk 34 kişi kaçakçılıktan tırnak içerisinde ifade ediyorum bunu başka geçimlerini,7
1,hepimiz görmüşüzdür işte bu insani kalkınmışlık endeksi yoksulluk kadın istihdamı çocuk bebek ölüm oranları falan bunların hepsinde en kötü birkaç ülkeden,39
1,hafta batman daydık batman da çok çeşitli sorunlar mevcut batman çocuk hastanesinin beş yıldır inşaatı yapılıyor hâlâ bitirilmiş değil neden bitirilmiyor,0
1,çok altında olduğunu göstermektedir 400 yataklı kastamonu devlet hastanesinde 4 çocuk cerrahının görev yapması gerekirken bugün hastanemizde çocuk cerrahı bulunmamaktadır 10,1
1,devlet hastanesinde 4 çocuk cerrahının görev yapması gerekirken bugün hastanemizde çocuk cerrahı bulunmamaktadır 10 olması gereken göğüs hastalıkları uzmanı sayısı bu,1
1,1974 yılında kurulan cumhuriyet üniversitesi hastanemizde maalesef bir tane bile çocuk kardiyoloji uzmanı bulunmamaktadır bu konuda mağdur olan hemşehrilerimiz kayseri başta,52
1,edilemez sağlıkta devrim yaptığını iddia eden akp iktidarı sivas a çocuk kardiyoloji uzmanı atayacak mıdır atama olacaksa bu atama ne zaman,54
1,de sağlık bakanlığının rakamlarına göre her yıl 2 binin üzerinde çocuk lösemiye yakalanıyor hastalık önceleri yüzde 100 ölümle sonuçlanırken bugün tedavi,48
1,gurur verici bir gelişmedir sevindiricidir efendim türkiye genelinde binlerce lösemili çocuk ve ailesinin maddi ve manevi sorunlarına dikkat çekmek istiyorum lösemi,39
1,genel kurula taşıyacağımıza söz vermişti bu çerçevede 61 yaşında 9 çocuk babası nazım gülmez 14 ekim 1994 tarihinde dersim in hozat,37
1,alınmamasından tamamen denetimlerin yapılmamasından dolayı seyithan kaya 32 yaşında 4 çocuk babası bir kardeşimiz i stanbul havalimanı inşaatındaki 39 uncu iş,13
1,o 1 lütfü türkkan kocaeli yemen de 1 8 milyon çocuk ileri derecede kötü beslenmeye maruz kalmakta ve bu çocuklardan 400,4
1,tek bayram olma özelliği taşıyan 23 nisan ulusal egemenlik ve çocuk bayramı nı büyük bir gururla karşıladık canlarını feda etme pahasına,54
1,fakat son zamanlarda bağışıklama hizmetlerinde aksamalar vardır sağlık hizmetlerinin ulaşamadığı çocuk sayısı artmaktadır ayrıca ebeveynlerin aşıyı reddetmesi nedeniyle aşı olmayan çocuk,32
1,çocuk sayısı artmaktadır ayrıca ebeveynlerin aşıyı reddetmesi nedeniyle aşı olmayan çocuk sayısı da artmaktadır aşı yapılmaması tekrar bulaşıcı hastalıkların artmasına ölüm,24
1,gelin öncelikle çocuklarımız için kullanalım artık kamuoyunun vicdanını rahatsız eden çocuk istismarı ve cinayetiyle ilgili bir haber daha beklemeden öncelikli olarak,19
1,istismarı ve cinayetiyle ilgili bir haber daha beklemeden öncelikli olarak çocuk istismarlarına yönelik yasal düzenlemeyi hep birlikte çıkaralım diyorum teşekkür ederim,8
1,hepimizin bildiği gibi kasım ayının ikinci pazartesisinden başlayan hafta dünya çocuk kitapları haftası çocukluğumuzda okuduğumuz tüm kitapların şu anki biz olmamızdaki,51
1,çocuğa ulaşmamız ve onları kitaplarla buluşturmamız gerekmektedir çok değerli türk çocuk kitabı yazarlarımızın kitapları ve dünya klasikleriyle mikrofon otomatik cihaz tarafından,30
1,ayıkladıktan sonra kalanları gözümüzün önüne getirin bunların büyük bir kısmı çocuk genç cezaevindeki hayat insan onuruyla pek bağdaşmayan bir hayattır bu,7
1,tek tek sayılmıştır devletin güvenliğine karşı suçlar adam öldürme suçu çocuk ve kadına istismar kapsam dışıdır atatürk e karşı işlenmiş suçlar,30
1,birinin evine baskın yapıldı polisler tarafından evde anne baba ve çocuk bulunuyor şöyle bir şey söylemiş polis üçünüzden birini alacağız siz,23
1,gerekiyor cezaevi sorunları kadına yönelik şiddet ve kadın hakları sorunları çocuk hakları sorunları bakın istismarın bu kadar arttığı bir süreçte çocuklarla,36
1,titriyoruz mesela kararlarından bir tanesi kurum demiş ki hâlen gündemimizde çocuk teslimi icra daireleriyle olmasın bugünlerde çözülmeye uğraşılıyor düzenlemeler yapıldı kurumun,45
1,bir seçmenim bir akrabam eşim dostum için ömrümde yapmadım bu çocuk için kalktım gittim bütün hikâyeyi anlattım çocuğun ismini de vereyim,29
1,arkadaşın bugüne kadar tespit edilebilen bir tane kusuru var bu çocuk alevi ve bu çocuk bu yüzden atanmadığını düşünüyor bu çocuk,49
1,edilebilen bir tane kusuru var bu çocuk alevi ve bu çocuk bu yüzden atanmadığını düşünüyor bu çocuk fetö cü olabilir mi,29
1,çocuk alevi ve bu çocuk bu yüzden atanmadığını düşünüyor bu çocuk fetö cü olabilir mi annesi hâlen daha sincan kadın cezaevinde,45
1,sincan kadın cezaevinde fetö cü olsa atardınız anasını çoktan bu çocuk örneğin bir başka terör örgütüyle irtibatlı olabilir mi öyle olsaydı,13
1,başka terör örgütüyle irtibatlı olabilir mi öyle olsaydı herhâlde bu çocuk bugüne kadar geldiği durumda devletin bir yerde bir hışmına uğrardı,19
1,kaynaklanan durumla alakalı bir tavır değişikliği icrayla alakalı uygulamaların kaldırılması çocuk haklarında daha özenli uygulama mahallî idarelerin yaklaşımlarında farklılıklar insan hakları,30
1,hem insan haklarımız hem kadın hakları hem seçilme hakları hem çocuk hakları ve birçok temel haklarımız mülkiyet hakkı da dâhil olmak,22
1,iletebilmektedirler i nsan hakları temel hak ve özgürlükler kadın hakları çocuk hakları kamuyu ilgilendiren genel konulara yönelik olması hâlinde doğrudan hak,37
1,gıda tarım ve hayvancılık insan hakları kadın hakları ailenin korunması çocuk hakları kamu personel rejimi mahallî idarelerce yürütülen hizmetler mülkiyet hakkı,30
1,ayvazoğlu trabzon teşekkür ediyorum sayın başkan trabzon umuzun maçka mızın çocuk yaşta kahramanı şehidimiz eren bülbül ün adının ülkemizin dünya çapında,30
1,özel manisa sayın başkan şunu anlayalım ve anlatalım kimsenin karşısında çocuk yok özlem zengi n tokat biz de çocuk değiliz kimse,2
1,kimsenin karşısında çocuk yok özlem zengi n tokat biz de çocuk değiliz kimse çocuk değil bu lafları söylemeye gerek yok özgür,2
1,yok özlem zengi n tokat biz de çocuk değiliz kimse çocuk değil bu lafları söylemeye gerek yok özgür özel manisa 31,2
1,yapanlar üç gün kala durumu görünce 2 tane hamle yaptılar çocuk değiliz kimse kandırmasın ne i mralı ya kendi avukatı dahi,43
1,öcalan ı bulmuş ya bunu söyleyip de sonra da bizi çocuk yerine salak yerine koymayın milleti koymaya çalıştınız ne kürtler ne,29
1,yüksek sesle söyledim ya özlem zengi n tokat kimse kimseye çocuk muamelesi yapmıyor siz bize öyle muamele ediyorsunuz özgür özel manisa,2
1,yapmıyorum siz demek ki kendinizi öyle hissediyorsunuz ben kimseye ne çocuk ne karga hiç böyle bir muamele yapmıyorum son derece net,17
1,özlemle anıyoruz i yi ki şarkılar söyledin bize şair ceketli çocuk başkan sayın kaya,18
1,fethi gürer niğde teşekkür ederim sayın başkan dünyada gelişmiş ülkeler çocuk işçilik konusunu önemsemekte ve çocuk işçiliğiyle mücadele edilmektedir ülkemizde akp,3
1,sayın başkan dünyada gelişmiş ülkeler çocuk işçilik konusunu önemsemekte ve çocuk işçiliğiyle mücadele edilmektedir ülkemizde akp iktidarları döneminde sanki çocuk işçilik,3
1,ve çocuk işçiliğiyle mücadele edilmektedir ülkemizde akp iktidarları döneminde sanki çocuk işçilik bilerek farklı düzenlemelerle yaygınlaştırılmaktadır çıraklığın ve stajyer öğrenciliğin sistemde,3
1,aylık yağız efe kucağımızdaydı biz o çocuğa ne diyeceğiz o çocuk bize bunun hesabını sorduğu zaman büyüdüğü zaman aklı erdiği zaman,7
1,kadın erkek eşitliğine inanmıyoruz sözlerinizden çok iyi biliyoruz kürtaj tartışmalarında çocuk öleceğine tecavüze uğrayan anası ölsün laflarınızdan çok iyi biliyoruz bugünkü,39
1,da dokundu tabii ki ohal ve khk ler kadın dernekleri çocuk dernekleri kapatıldı televizyonlar kapatıldı ve seçilmiş belediye başkanlarının yerine kayyumlar,49
1,kişi grev hakkını kullanamamış 624 kadın cinayete kurban gitmiş 387 çocuk istismara uğramış çalışmak zorunda bırakılan 2 milyon çocuğun yüzde 80,4
1,kendi halkından korkan bir yönetimin rakamıdır bu 7 yaşındaki bir çocuk ile 78 yaşındaki sise anneyi cezaevine koyan anlayıştan adalet beklenebilir,19
1,bütün taleplerimiz reddedildi gözlerinizin içine bakarak sormak istiyorum 1 yaşındaki çocuk nasıl cezalandırılıyor bunu vicdanınıza nasıl sığdırıyorsunuz i stediğiniz kadar icraat,39
1,tabana yayacağız esnaf vergi çiftçi vergi emekli vergi yeni doğan çocuk vergi milyarları kazanandan bakın altını çiziyorum milyar dolarları 55 tbmm,16
1,satıldığını söylüyorlar hiçbir mahremiyetlerine saygı gösterilmediğini söylüyorlar bu çocuklar hakikaten çocuk 13 yaşında 14 yaşında çünkü insanlar 50 yaşında terörist olmuyor,30
1,emekçi yerine sermayeyi cinsiyet eşitliği yerine erkekliği bilim yerine geriliği çocuk genç yerine cemaatleri doğa yerine talanı ve barış yerine savaşı,47
1,oturuyordu şimdi erkeklerin yaptığı bir bütçede doğal olarak toplumsal cinsiyet çocuk yararına bir hassasiyet olmuyor ve nitekim önümüzdeki bütçede de bunlar,39
1,ypg pkk nın önceki gün birleşmiş milletler cenevre ofisinde bünyesindeki çocuk savaşçıları bırakması için hazırlanan eylem planına imza attığı ortaya çıktı,43
1,2016 tarihinde bir cemaat öğrenci yurdunda çıkan yangında 11 i çocuk 12 kişi yaşamını yitirmiş 24 çocuk da yaralanmıştı yılan hikâyesine,5
1,çıkan yangında 11 i çocuk 12 kişi yaşamını yitirmiş 24 çocuk da yaralanmıştı yılan hikâyesine dönen mahkemeler arasında gidip gelen sürüncemede,5
1,kapatıldı başkan buyurun hakki saruhan oluç i stanbul diğer ülkelerde çocuk pornografisi nefret söylemi ya da telif hakları için engellemeler yapılıyor,30
1,atan öztekin çocuğu kurtardı ama kendisi şehit oldu kadın yaşlı çocuk sivil ayrım yapmayan gözü dönmüş mikrofon otomatik cihaz tarafından kapatıldı,18
1,yapıldı yozgat ta 9 ilçede kadın doğum uzmanı 7 ilçede çocuk uzmanı bulunmuyor 21 inci yüzyılda ilçe devlet hastanelerinde çocuk doktoru,47
1,ilçede çocuk uzmanı bulunmuyor 21 inci yüzyılda ilçe devlet hastanelerinde çocuk doktoru yok 600 köyümüzden sadece 5 köyde sağlık ocağı doktoru,24
1,vahşiyane eylemleri yapan terör örgütünü bir kez daha lanetliyorum çoluk çocuk demeden tüm vatandaşlarımızın hayatına kasteden kundaktaki bebeğe kurşun sıkan pkk,8
1,devam edecek devletimiz bu teröristlerin peşini bırakmayacak ve eninde sonunda çocuk katili pkk terör örgütü tamamen ortadan kalkacak ve onun destekçileri,8
1,hakurk bölgesinde devam eden operasyonlar kapsamında mayın tarama faaliyeti sırasında çocuk ve bebek katili pkk lı hainlerin döşediği el yapımı düzeneğin,39
1,teşekkür ederim sayın başkan 2019 da 160 kadın öldürüldü 35 çocuk cinsel istismara uğradı 72 kadın şiddet gördü kadın istihdamı ise,1
