year,context,cluster
1,ya da yanlışlığını tartışmak için ifade etmek istemiyorum ama burada özel öğretim kurumlarına dair teşvikler tartışılırken bu sistemin yanlış olduğu söylendiğinde,48
1,yapılıyordu deniliyordu ki bir öğrencinin kamuya maliyeti çok daha fazla özel öğretim daha niteliklidir daha kalitelidir devlet parasını karşılasın özel öğretim,196
1,fazla özel öğretim daha niteliklidir daha kalitelidir devlet parasını karşılasın özel öğretim versin şimdi görünen o ki sayın bakan bu görüşe,15
1,koltuğunun dibinde ne arıyordu bunun hesabını millete vermiş midir recep özel isparta bu şahsi sataşma o fotoğraf çıkalı on yıl oldu,0
1,biliyorsunuz şartları özlem zengi n tokat bir saniye bitiriyorum recep özel isparta otur gülme otur otur özlem zengi n tokat hemen,98
1,bir grup başkan vekili olarak tartışmayı bir toparlayalım artık recep özel isparta fotoğrafı koysaydın keşke i smai l tamer kayseri göster,0
1,koysaydın keşke i smai l tamer kayseri göster göster recep özel isparta fotoğrafı bir daha göster şöyle fotoğrafı çevir fotoğrafı başkan,0
1,olarak çalışan işçiler 4 d işçi kadrolarına atandılar belediyelerde ve özel idarelerde taşeron firmada işçi olarak çalışanlar ise ilgili belediyelerin ve,130
1,idarelerde taşeron firmada işçi olarak çalışanlar ise ilgili belediyelerin ve özel idare müdürlüklerinin kurdukları şirketlerde istihdam edildiler direkt 4 d işçi,130
1,verilmeyenlerdir bir kere kamuoyunun dikkatini şuna çekmek isteriz bu kişiler özel sektörde de çalışmış olsalar işe başladıkları dönemin akdi bir kazanılmış,1
1,bir noktaya dikkat çekmek istiyorum o da güvenlik soruşturmaları dolayısıyla özel kurumlarda bile çalışmasına izin verilmeyenler var yani herhangi bir yargısal,2
1,sayın başkan herhangi bir hukuki engel olmamasına rağmen keyfî biçimde özel kurumlarda bile çalışmasına bir kanaatle sadece bir yorumla hiçbir yazılı,2
1,değişiyor kars ta örneklerini bildiğimiz onlarca vaka var rehabilitasyon merkezlerinde özel kurslarda işe başlamak istiyorlar kurum istihdam etmek istiyor ama bir,69
